time,inserted_at,value
1479026230,1479026229,31.0031280995
1479026243,1479026241,31.0183871214
1479026250,1479026249,30.8963149462
1479026258,1479026257,30.7589837491
1479026271,1479026270,30.636911574
1479026279,1479026277,30.6521705959
1479026286,1479026285,30.636911574
1479026294,1479026293,30.8810559243
1479026301,1479026300,31.1252002747
1479026309,1479026308,31.0031280995
1479026316,1479026315,30.8963149462
1479026324,1479026323,30.774242771
1479026332,1479026331,30.5148393988
1479026339,1479026338,30.5148393988
1479026230,1479026229,31.0031280995
1479026243,1479026241,31.0183871214
1479026250,1479026249,30.8963149462
1479026258,1479026257,30.7589837491
1479026271,1479026270,30.636911574
1479026279,1479026277,30.6521705959
1479026286,1479026285,30.636911574
1479026294,1479026293,30.8810559243
1479026301,1479026300,31.1252002747
1479026309,1479026308,31.0031280995
1479026316,1479026315,30.8963149462
1479026324,1479026323,30.774242771
1479026332,1479026331,30.5148393988
1479026339,1479026338,30.5148393988
1479026230,1479026229,31.0031280995
1479026243,1479026241,31.0183871214
1479026250,1479026249,30.8963149462
1479026258,1479026257,30.7589837491
1479026271,1479026270,30.636911574
1479026279,1479026277,30.6521705959
1479026286,1479026285,30.636911574
1479026294,1479026293,30.8810559243
1479026301,1479026300,31.1252002747
1479026309,1479026308,31.0031280995
1479026316,1479026315,30.8963149462
1479026324,1479026323,30.774242771
1479026332,1479026331,30.5148393988
1479026339,1479026338,30.5148393988
1479026230,1479026229,31.0031280995
1479026243,1479026241,31.0183871214
1479026250,1479026249,30.8963149462
1479026258,1479026257,30.7589837491
1479026271,1479026270,30.636911574
1479026279,1479026277,30.6521705959
1479026286,1479026285,30.636911574
1479026294,1479026293,30.8810559243
1479026301,1479026300,31.1252002747
1479026309,1479026308,31.0031280995
1479026316,1479026315,30.8963149462
1479026324,1479026323,30.774242771
1479026332,1479026331,30.5148393988
1479026339,1479026338,30.5148393988
1479026230,1479026229,31.0031280995
1479026243,1479026241,31.0183871214
1479026250,1479026249,30.8963149462
1479026258,1479026257,30.7589837491
1479026271,1479026270,30.636911574
1479026279,1479026277,30.6521705959
1479026286,1479026285,30.636911574
1479026294,1479026293,30.8810559243
1479026301,1479026300,31.1252002747
1479026309,1479026308,31.0031280995
1479026316,1479026315,30.8963149462
1479026324,1479026323,30.774242771
1479026332,1479026331,30.5148393988
1479026339,1479026338,30.5148393988
1479026230,1479026229,31.0031280995
1479026243,1479026241,31.0183871214
1479026250,1479026249,30.8963149462
1479026258,1479026257,30.7589837491
1479026271,1479026270,30.636911574
1479026279,1479026277,30.6521705959
1479026286,1479026285,30.636911574
1479026294,1479026293,30.8810559243
1479026301,1479026300,31.1252002747
1479026309,1479026308,31.0031280995
1479026316,1479026315,30.8963149462
1479026324,1479026323,30.774242771
1479026332,1479026331,30.5148393988
1479026339,1479026338,30.5148393988
1479026230,1479026229,31.0031280995
1479026243,1479026241,31.0183871214
1479026250,1479026249,30.8963149462
1479026258,1479026257,30.7589837491
1479026271,1479026270,30.636911574
1479026279,1479026277,30.6521705959
1479026286,1479026285,30.636911574
1479026294,1479026293,30.8810559243
1479026301,1479026300,31.1252002747
1479026309,1479026308,31.0031280995
1479026316,1479026315,30.8963149462
1479026324,1479026323,30.774242771
1479026332,1479026331,30.5148393988
1479026339,1479026338,30.5148393988
1479026230,1479026229,31.0031280995
1479026243,1479026241,31.0183871214
1479026250,1479026249,30.8963149462
1479026258,1479026257,30.7589837491
1479026271,1479026270,30.636911574
1479026279,1479026277,30.6521705959
1479026286,1479026285,30.636911574
1479026294,1479026293,30.8810559243
1479026301,1479026300,31.1252002747
1479026309,1479026308,31.0031280995
1479026316,1479026315,30.8963149462
1479026324,1479026323,30.774242771
1479026332,1479026331,30.5148393988
1479026339,1479026338,30.5148393988
1479026230,1479026229,31.0031280995
1479026243,1479026241,31.0183871214
1479026250,1479026249,30.8963149462
1479026258,1479026257,30.7589837491
1479026271,1479026270,30.636911574
1479026279,1479026277,30.6521705959
1479026286,1479026285,30.636911574
1479026294,1479026293,30.8810559243
1479026301,1479026300,31.1252002747
1479026309,1479026308,31.0031280995
1479026316,1479026315,30.8963149462
1479026324,1479026323,30.774242771
1479026332,1479026331,30.5148393988
1479026339,1479026338,30.5148393988
